IP;MAC Address;Host Name;Phone DN;App Load ID;Boot Load ID;Version;Hardware Revision;Serial Number;Model Number;Message Waiting;UDI;1;2;3;4;Time;Time Zone;Date;System Free Memory;Java Heap Free Memory;Java Pool Free Memory
10.159.188.20;1C17D34061B5;SEP1C17D34061B5;7890;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH14178A3R;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH14178A3R;6:43:02p;Asia/Riyadh;20/09/15;10947408;1714692;600888
10.159.188.21;1CAA07115206;SEP1CAA07115206;8788;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH151587Y2;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH151587Y2;6:42:59p;Asia/Riyadh;20/09/15;10947408;1732096;592864
10.159.188.22;B4A4E3D63C38;SEPB4A4E3D63C38;9001;jar11sccp.9-0-2ES2.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-2SR1S;9.1;FCH14388UAA;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH14388UAA;6:42:58p;Saudi Arabia Standard Time;20/09/15;12151680;1674524;124528
10.159.188.23;001BD5E82287;SEP001BD5E82287;8511;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11238KYG;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11238KYG;6:42:58p;Asia/Riyadh;20/09/15;10955600;1689412;601120
10.159.188.24;1C17D34062F1;SEP1C17D34062F1;8759;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH14178AD2;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH14178AD2;6:43:07p;Asia/Riyadh;20/09/15;10947408;1720304;592776
10.159.188.25;001BD512EB26;SEP001BD512EB26;7809;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208FLP;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208FLP;6:42:58p;Asia/Riyadh;20/09/15;10922832;1723828;600832
10.159.188.26;3037A617D1F0;SEP3037A617D1F0;8764;jar42sccp.9-0-3TH1-22.sbn;tnp62.8-3-1-21a.bin;SCCP42.9-0-3S;11.0;FCH14088EVS;CP-7962G;No;phone;Cisco Unified IP Phone 7962G, Global;CP-7962G;V06;FCH14088EVS;6:43:02p;Asia/Riyadh;20/09/15;7332512;2840356;469120
10.159.188.27;001BD512D824;SEP001BD512D824;7870;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208BDK;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208BDK;6:43:06p;Asia/Riyadh;20/09/15;10947408;1632504;599488
10.159.188.28;001BD512E56A;SEP001BD512E56A;7802;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208EBH;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208EBH;6:43:02p;Asia/Riyadh;20/09/15;10980176;1720736;601976
10.159.188.29;001BD512E8D1;SEP001BD512E8D1;8780;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208F34;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208F34;6:43:05p;Asia/Riyadh;20/09/15;10947408;1725356;601008
